(0.1,1e-05), 0.0
(0.1,0.0001), 0.5988051690110402
(0.1,0.001), 0.6685296299844793
(0.1,0.01), 0.6690716489124788
(0.1,0.1), 0.0
(1,1e-05), 0.6061652526801564
(1,0.0001), 0.673091562097354
(1,0.001), 0.6525316506819067
(1,0.01), 0.6683976864150196
(1,0.1), 0.0
(10,1e-05), 0.6805764693712584
(10,0.0001), 0.6568414628038693
(10,0.001), 0.6443764990202201
(10,0.01), 0.6396055560657281
(10,0.1), 0.07072264861656812
best: (10,1e-05), 0.6805764693712584(1,0.01), 0.6683976864150196
(5,0.01), 0.6536677734773203
(10,0.01), 0.6396055560657281
best: (1,0.01), 0.6683976864150196(1,0.01), 0.6683976864150196
(2,0.01), 0.6625969682812467
(3,0.01), 0.661313065674688
(4,0.01), 0.6562412720725401
(5,0.01), 0.6536677734773203
best: (1,0.01), 0.6683976864150196
