Date: 1-1-2022
Player: J. Brown, line: O 7.5, odds: (EVEN)
Player: R.J. Hampton Jr., line: O 3.5, odds: (+105)
Player: Al Horford, line: O 8.5, odds: (-120)
Player: F. Wagner, line: O 5.5, odds: (+105)
Player: P. Pritchard, line: O 2.5, odds: (-155)
Player: C. Metu, line: O 7.5, odds: (+115)
Player: B. Hield, line: O 2.5, odds: (-155)
Player: H. Barnes, line: O 5.5, odds: (-130)
Player: M. Bagley III, line: O 8.5, odds: (-135)
Player: T. Haliburton, line: O 4.5, odds: (+110)
Player: K. Lowry, line: O 4.5, odds: (+105)
Player: J. Butler, line: O 6.5, odds: (EVEN)
Player: D. Fox, line: O 3.5, odds: (-125)
Player: T. Herro, line: O 5.5, odds: (-105)
Player: D. Mitchell, line: O 2.5, odds: (+105)
Player: O. Yurtseven, line: O 12.5, odds: (-105)
Player: D. Jones, line: O 7.5, odds: (-145)
Player: C. Martin, line: O 4.5, odds: (-150)
Player: C. Johnson, line: O 6.5, odds: (EVEN)
Player: C. Martin, line: O 3.5, odds: (-140)
Player: K. Oubre Jr., line: O 3.5, odds: (-135)
Player: G. Hayward, line: O 5.5, odds: (+125)
Player: L. Ball, line: O 7.5, odds: (-110)
Player: T. Rozier, line: O 3.5, odds: (-165)
Player: M. Bridges, line: O 6.5, odds: (-145)
Player: C. Paul, line: O 4.5, odds: (-120)
Player: L. Shamet, line: O 1.5, odds: (-135)
Player: C. Payne, line: O 3.5, odds: (+105)
Player: J. Smith, line: O 10.5, odds: (-140)
Player: M. Bridges, line: O 4.5, odds: (-130)
Player: M. Plumlee, line: O 7.5, odds: (-130)
Player: D. Booker, line: O 5.5, odds: (+110)
Player: J. McDaniels, line: O 4.5, odds: (-155)
Player: I. Roby, line: O 4.5, odds: (-160)
Player: D. Finney-Smith, line: O 4.5, odds: (-161)
Player: A. Wiggins, line: O 4.5, odds: (+120)
Player: M. Kleber, line: O 5.5, odds: (-115)
Player: J. Brunson, line: O 3.5, odds: (-165)
Player: D. Powell, line: O 5.5, odds: (+115)
Player: R. Bullock, line: O 2.5, odds: (-145)
