Stat: pts
Best weight alpha found: 205
Best feature alpha found: 5
Shai Gilgeous-Alexander average predicted stats: 4.685971999519034
Shai Gilgeous-Alexander actual average stats: 4.8
Ja Morant average predicted stats: 7.942961699213797
Ja Morant actual average stats: 7.6
Jalen Brunson average predicted stats: 5.520021682095356
Jalen Brunson actual average stats: 6.0
Khris Middleton average predicted stats: 5.94158881480046
Khris Middleton actual average stats: 5.9
Kevin Porter Jr. average predicted stats: 6.194482174359242
Kevin Porter Jr. actual average stats: 5.3
Tre Jones average predicted stats: 5.357682233619687
Tre Jones actual average stats: 8.6
Kelly Olynyk average predicted stats: 3.4914479646340966
Kelly Olynyk actual average stats: 5.7
Marvin Bagley III average predicted stats: 1.1990537787181395
Marvin Bagley III actual average stats: 1.3
Jalen Smith average predicted stats: 0.9815037854352481
Jalen Smith actual average stats: 1.0
P.J. Tucker average predicted stats: 0.8570783739492669
P.J. Tucker actual average stats: 0.7
Amir Coffey average predicted stats: 0.9734285479975288
Amir Coffey actual average stats: 0.4
Ish Smith average predicted stats: 2.462975243629735
Ish Smith actual average stats: 2.4
Jrue Holiday average predicted stats: 6.84013725027247
Jrue Holiday actual average stats: 8.2
Gary Trent Jr. average predicted stats: 1.871051392701552
Gary Trent Jr. actual average stats: 1.4
Jamal Murray average predicted stats: 5.990034044673768
Jamal Murray actual average stats: 7.2
Anthony Lamb average predicted stats: 1.5168965990568828
Anthony Lamb actual average stats: 0.8
Marcus Smart average predicted stats: 4.65398933988637
Marcus Smart actual average stats: 4.8
Lindy Waters III average predicted stats: 0.7552128928651471
Lindy Waters III actual average stats: 0.5
Kevon Looney average predicted stats: 1.9087340104093626
Kevon Looney actual average stats: 3.2
Derrick White average predicted stats: 3.986791215554457
Derrick White actual average stats: 4.3
Lamar Stevens average predicted stats: 0.46278185623240764
Lamar Stevens actual average stats: 0.4

Stat: trb
Best weight alpha found: 399
Best feature alpha found: 9
Best opposing team alpha found: 95
Best inactive number found: 206
Royce O'Neale average predicted stats: 5.57842907732231
Royce O'Neale actual average stats: 5.2
Rudy Gobert average predicted stats: 10.108767847644563
Rudy Gobert actual average stats: 12.2
Onyeka Okongwu average predicted stats: 6.157167210898969
Onyeka Okongwu actual average stats: 6.9
Robert Covington average predicted stats: 1.8714458478912313
Robert Covington actual average stats: 2.8
Thaddeus Young average predicted stats: 1.8255122983820526
Thaddeus Young actual average stats: 1.8
Udoka Azubuike average predicted stats: 2.252792173354993
Udoka Azubuike actual average stats: 6.3
Marvin Bagley III average predicted stats: 5.968436182646766
Marvin Bagley III actual average stats: 5.3
Jimmy Butler average predicted stats: 5.695370525766169
Jimmy Butler actual average stats: 4.9
