Date: 1-1-2022
Player: F. Wagner, line: O 2.5, odds: (-130)
Player: R.J. Hampton Jr., line: O 2.5, odds: (-125)
Player: D. Schroder, line: O 4.5, odds: (-115)
Player: W. Carter Jr., line: O 2.5, odds: (-120)
Player: M. Smart, line: O 5.5, odds: (-145)
Player: H. Barnes, line: O 2.5, odds: (+120)
Player: J. Butler, line: O 5.5, odds: (-110)
Player: D. Fox, line: O 4.5, odds: (-135)
Player: C. Metu, line: O 0.5, odds: (-255)
Player: T. Herro, line: O 4.5, odds: (+120)
Player: T. Haliburton, line: O 7.5, odds: (-105)
Player: D. Jones, line: O 0.5, odds: (-200)
Player: C. Martin, line: O 1.5, odds: (+120)
Player: D. Mitchell, line: O 3.5, odds: (+110)
Player: O. Yurtseven, line: O 1.5, odds: (+125)
Player: B. Hield, line: O 1.5, odds: (-185)
Player: M. Bagley III, line: O 0.5, odds: (-180)
Player: K. Lowry, line: O 7.5, odds: (+105)
Player: C. Paul, line: O 9.5, odds: (-125)
Player: L. Shamet, line: O 1.5, odds: (+155)
Player: G. Hayward, line: O 3.5, odds: (+125)
Player: L. Ball, line: O 7.5, odds: (+110)
Player: C. Johnson, line: O 1.5, odds: (-115)
Player: M. Bridges, line: O 2.5, odds: (-135)
Player: C. Martin, line: O 2.5, odds: (+150)
Player: K. Oubre Jr., line: O 1.5, odds: (+160)
Player: C. Payne, line: O 4.5, odds: (+125)
Player: J. McDaniels, line: O 1.5, odds: (+175)
Player: M. Bridges, line: O 1.5, odds: (-130)
Player: M. Plumlee, line: O 2.5, odds: (-125)
Player: T. Rozier, line: O 3.5, odds: (+120)
Player: J. Smith, line: O 0.5, odds: (-200)
Player: D. Booker, line: O 4.5, odds: (-110)
Player: Ty Jerome, line: O 3.5, odds: (-118)
Player: L. Doncic, line: O 6.5, odds: (-130)
Player: A. Wiggins, line: O 1.5, odds: (+160)
Player: J. Giddey, line: O 6.5, odds: (EVEN)
Player: K. Williams, line: O 2.5, odds: (+145)
Player: D. Finney-Smith, line: O 2.5, odds: (+140)
Player: I. Roby, line: O 1.5, odds: (+140)
Player: D. Powell, line: O 0.5, odds: (-185)
Player: A. Pokusevski, line: O 1.5, odds: (-140)
Player: R. Bullock, line: O 0.5, odds: (-140)
Player: M. Kleber, line: O 0.5, odds: (-185)
Player: M. Muscala, line: O 0.5, odds: (-155)
Player: J. Brunson, line: O 5.5, odds: (-110)
Player: T. Hardaway Jr., line: O 1.5, odds: (+120)
Player: P. Beverley, line: O 4.5, odds: (-145)
Player: J. Vanderbilt, line: O 1.5, odds: (+125)
Player: A. Edwards, line: O 3.5, odds: (-125)
Player: A. Bradley, line: O 0.5, odds: (-240)
Player: J. Nowell, line: O 2.5, odds: (+110)
Player: T. Horton-Tucker, line: O 2.5, odds: (+145)
Player: T. Ariza, line: O 0.5, odds: (-245)
Player: R. Westbrook III, line: O 9.5, odds: (-140)
Player: N. Reid, line: O 0.5, odds: (-190)
Player: L. James, line: O 7.5, odds: (-125)
Player: M. Monk, line: O 2.5, odds: (+120)
Player: S. Johnson, line: O 2.5, odds: (+145)
Player: C. Anthony, line: O 1.5, odds: (+175)
Player: M. Beasley, line: O 2.5, odds: (+110)
Player: J. McDaniels, line: O 1.5, odds: (+140)

Date: 1-3-2022
Player: K. Kuzma, line: O 3.5, odds: (-130)
Player: K. Oubre Jr., line: O 0.5, odds: (-225)
Player: D. Bertans, line: O 0.5, odds: (-195)
Player: C. Kispert, line: O 1.5, odds: (-175)
Player: K. Caldwell-Pope, line: O 2.5, odds: (-135)
Player: C. Martin, line: O 2.5, odds: (+130)
Player: M. Bridges, line: O 2.5, odds: (-150)
Player: G. Hayward, line: O 2.5, odds: (-185)
Player: B. Beal, line: O 8.5, odds: (-115)
Player: D. Avdija, line: O 2.5, odds: (+110)
Player: D. Gafford, line: O 1.5, odds: (+120)
Player: L. Ball, line: O 6.5, odds: (-155)
Player: J. McDaniels, line: O 0.5, odds: (-180)
Player: T. Rozier, line: O 2.5, odds: (-150)
Player: M. Plumlee, line: O 2.5, odds: (+130)
Player: K. Martin Jr., line: O 1.5, odds: (-125)
Player: G. Niang, line: O 1.5, odds: (+175)
Player: G. Mathews, line: O 0.5, odds: (-250)
Player: F. Korkmaz, line: O 2.5, odds: (-115)
Player: J. Embiid, line: O 3.5, odds: (+110)
Player: T. Maxey, line: O 3.5, odds: (-160)
Player: J. Green, line: O 2.5, odds: (-125)
Player: E. Gordon, line: O 4.5, odds: (+120)
Player: J. Tate, line: O 3.5, odds: (-125)
Player: D. Theis, line: O 1.5, odds: (+120)
Player: T. Harris, line: O 3.5, odds: (EVEN)
Player: D. Green, line: O 1.5, odds: (-135)
Player: A. Drummond, line: O 1.5, odds: (+150)
Player: J. Christopher, line: O 2.5, odds: (+150)
Player: S. Curry, line: O 3.5, odds: (-135)
Player: S. Milton, line: O 2.5, odds: (-115)
Player: J. Jackson Jr., line: O 1.5, odds: (+185)
Player: Ja Morant, line: O 6.5, odds: (-120)
Player: J. Johnson, line: O 1.5, odds: (-200)
Player: D. Bane, line: O 2.5, odds: (-110)
Player: P. Mills, line: O 2.5, odds: (-140)
Player: N. Claxton, line: O 1.5, odds: (+170)
Player: D. Bembry, line: O 1.5, odds: (-125)
Player: K. Tillie, line: O 0.5, odds: (-185)
Player: B. Brown Jr., line: O 1.5, odds: (EVEN)
Player: T. Jones, line: O 4.5, odds: (+130)
Player: K. Durant, line: O 5.5, odds: (-120)
Player: J. Harden, line: O 10.5, odds: (-110)
Player: L. Aldridge, line: O 1.5, odds: (+175)
Player: B. Clarke, line: O 1.5, odds: (+105)
Player: S. Adams, line: O 2.5, odds: (+120)
Player: R. Gay, line: O 0.5, odds: (-195)
Player: J. Ingles, line: O 3.5, odds: (EVEN)
Player: B. Bogdanovic, line: O 1.5, odds: (-110)
Player: J. Hart, line: O 4.5, odds: (EVEN)
Player: J. Valanciunas, line: O 2.5, odds: (-149)
Player: H. Jones, line: O 2.5, odds: (+150)
Player: M. Conley, line: O 5.5, odds: (+105)
Player: B. Ingram, line: O 4.5, odds: (-102)
Player: R. Gobert, line: O 1.5, odds: (+160)
Player: D. Mitchell, line: O 5.5, odds: (EVEN)
Player: R. O'Neale, line: O 2.5, odds: (-105)
Player: D. Graham, line: O 4.5, odds: (-110)
Player: N. Alexander-Walker, line: O 2.5, odds: (+140)
Player: J. Clarkson, line: O 2.5, odds: (+105)
Player: K. Hayes, line: O 3.5, odds: (+125)
Player: C. Cunningham, line: O 4.5, odds: (-161)
Player: S. Bey, line: O 2.5, odds: (+105)
Player: H. Diallo, line: O 1.5, odds: (-200)
Player: G. Antetokounmpo, line: O 5.5, odds: (-150)
Player: J. Holiday, line: O 7.5, odds: (-110)
Player: P. Connaughton, line: O 1.5, odds: (+165)
Player: T. Lyles, line: O 1.5, odds: (+140)
Player: G. Allen, line: O 1.5, odds: (+110)
Player: D. Cousins, line: O 1.5, odds: (+175)
Player: G. Hill, line: O 1.5, odds: (-185)
Player: B. Portis Jr., line: O 1.5, odds: (-105)
Player: W. Matthews, line: O 0.5, odds: (-160)
Player: K. Middleton, line: O 4.5, odds: (-135)
Player: T. Frazier, line: O 4.5, odds: (-130)
Player: D. DeRozan, line: O 4.5, odds: (-135)
Player: L. Ball, line: O 5.5, odds: (+110)
Player: W. Carter Jr., line: O 2.5, odds: (-155)
Player: F. Wagner, line: O 2.5, odds: (-120)
Player: C. White, line: O 2.5, odds: (-160)
Player: N. Vucevic, line: O 3.5, odds: (+104)
Player: D. Jones Jr., line: O 0.5, odds: (-145)
Player: A. Dosunmu, line: O 1.5, odds: (-115)
Player: Z. LaVine, line: O 4.5, odds: (-125)
Player: G. Harris, line: O 2.5, odds: (+135)
Player: Mo Bamba, line: O 1.5, odds: (+130)
Player: T. Ross, line: O 2.5, odds: (+140)
Player: F. Campazzo, line: O 5.5, odds: (EVEN)
Player: W. Barton, line: O 4.5, odds: (+118)
Player: L. Doncic, line: O 7.5, odds: (-105)
Player: M. Kleber, line: O 1.5, odds: (+160)
Player: N. Jokic, line: O 7.5, odds: (+118)
Player: A. Rivers, line: O 1.5, odds: (-115)
Player: R. Bullock, line: O 0.5, odds: (-200)
Player: T. Hardaway Jr., line: O 1.5, odds: (-125)
Player: J. Green, line: O 0.5, odds: (-125)
Player: J. Brunson, line: O 4.5, odds: (-150)
Player: D. Powell, line: O 1.5, odds: (+150)
Player: D. Finney-Smith, line: O 3.5, odds: (+135)
Player: A. Gordon, line: O 1.5, odds: (-195)
Player: J. Nurkic, line: O 3.5, odds: (EVEN)
Player: R. Covington, line: O 1.5, odds: (+130)
